text	favorited	favoriteCount	replyToSN	created	truncated	replyToSID	id	replyToUID	statusSource	screenName	retweetCount	isRetweet	retweeted	longitude	latitude
        , lectures, quizzes &amp; exams.      !P  #coursera	FALSE	0	NA	2015-02-22 13:05:36	FALSE	NA	569483144669339649	NA	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	couchpotatoes05	0	FALSE	FALSE	NA	NA
It's time for week 4: #Python #functions- #PR4E  #Coursera	FALSE	2	NA	2015-02-22 11:23:34	FALSE	NA	569457467282886656	NA	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	alberto_rusconi	0	FALSE	FALSE	NA	NA
abandoned analyzing massive HD data for dev data app from #coursera	FALSE	0	NA	2015-02-22 07:45:55	FALSE	NA	569402690930741248	NA	<a href="http://www.apple.com/" rel="nofollow">OS X</a>	KenMercusLai	0	FALSE	FALSE	NA	NA
how am i supposed to report errors in course materials when the "course materials errors" subforum is down? D: #coursera	FALSE	1	NA	2015-02-22 05:32:05	FALSE	NA	569369012804542464	NA	<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	syk0saje	0	FALSE	FALSE	NA	NA
#android #apk #Android #app #apk #Education #Coursera 1.5.3.4 #

Full Name:Coursera Short Name: Coursera Google ID http://t.co/DlzrR8O3Ep	FALSE	0	NA	2015-02-22 05:00:54	FALSE	NA	569361165731688448	NA	<a href="http://ifttt.com" rel="nofollow">IFTTT</a>	apksorg	0	FALSE	FALSE	NA	NA
#berkeleeonline #coursera  I will not be on social media for a few days, have to catch up on online classes and paperwork for other stuff.	FALSE	1	NA	2015-02-22 02:22:00	FALSE	NA	569321175878393856	NA	<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	QueenSha	0	FALSE	FALSE	NA	NA
Un curso de Pensamiento Cientifco gratuito  https://t.co/6Oe1epUb3Q #coursera	FALSE	0	NA	2015-02-22 02:10:38	FALSE	NA	569318314670886912	NA	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	corresponsalia1	0	FALSE	FALSE	NA	NA
Awesome!!! Join project "Assignment 2" by XSIV on Blend via @BlendHQ #AbletonLive #dubstep #erinbarra #coursera http://t.co/MSAb7dq7uf	FALSE	1	NA	2015-02-22 01:50:29	FALSE	NA	569313243140792320	NA	<a href="http://mobile.twitter.com" rel="nofollow">Mobile Web</a>	oksanaboyenko	0	FALSE	FALSE	NA	NA
Join project "Assignment 2" by XSIV on Blend via @BlendHQ #AbletonLive #dubstep #erinbarra #coursera http://t.co/8paxLUf9EN	FALSE	0	NA	2015-02-22 01:45:41	FALSE	NA	569312037307723776	NA	<a href="http://mobile.twitter.com" rel="nofollow">Mobile Web</a>	dollcollectorsn	0	FALSE	FALSE	NA	NA
CLASS NOTES: L'avenir de la dcision : Complmentarit de vrits apparemment contraires: http://t.co/wJayry5DJg #coursera #mooc	FALSE	2	NA	2015-02-22 00:31:58	FALSE	NA	569293485385392128	NA	<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	edward_tanguay	0	FALSE	FALSE	NA	NA
